REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
4,2020,"Hsu, Chien-Ning; Yang, Hung-Wei; Hou, Chih-Yao; Chang-Chien, Guo-Ping; Lin, Sufan; Tain, You-Lin",Maternal Adenine-Induced Chronic Kidney Disease Programs Hypertension in Adult Male Rat Offspring: Implications of Nitric Oxide and Gut Microbiome Derived Metabolites,International Journal of Molecular Sciences,,7237,19,21,Studies that did not meet inclusion criteria,,
4,2020,"Shterzer, Naama; Rothschild, Nir; Sbehat, Yara; Stern, Einav; Nazarov, Albert; Mills, Erez",Large Overlap Between the Intestinal and Reproductive Tract Microbiomes of Chickens,Frontiers in Microbiology,1664-302X,,,11,Studies that did not meet inclusion criteria,Overlap of reproductive and digestive tract in chickens,
4,2020,"Savietto, D.; Paes, C.; Cauquil, L.; Fortun-Lamothe, L.; Combes, S.",Evolution of gut microbial community through reproductive life in female rabbits and investigation of the link with offspring survival,Animal,1751-7311,2253-2261,11,14,Studies that did not meet inclusion criteria,,
4,2020,"Li, Yanlei; Tu, Changli; Chen, Meizhu; Tan, Cuiyan; Zheng, Xiaobin; Wang, Zhenguo; Liang, Yingjian; Wang, Kongqiu; Wu, Jian; Li, Hongjun; Liu, Jing",Establishing a high microbial load maternal-offspring asthma model in adult mice,International Immunopharmacology,1567-5769,106453,,83,Studies that did not meet inclusion criteria,,
4,2020,"Ramsteijn, Anouschka S.; Jasarevic, Eldin; Houwing, Danielle J.; Bale, Tracy L.; Olivier, Jocelien D. A.",Antidepressant treatment with fluoxetine during pregnancy and lactation modulates the gut microbiome and metabolome in a rat model relevant to depression,Gut Microbes,1949-0976,,4,11,Studies that did not meet inclusion criteria,,
4,2020,"Gong, H. Z.; Lang, W. Y.; Lan, H. N.; Fan, Y. Y.; Wang, T. P.; Chu, Q. R.; Wang, J. H.; Li, D.; Zheng, X.; Wu, M.","Effects of laying breeder hens dietary β-carotene, curcumin, allicin, and sodium butyrate supplementation on the jejunal microbiota and immune response of their offspring chicks",Poultry Science,1525-3171,3807-3816,8,99,Studies that did not meet inclusion criteria,,
4,2020,"Hsu, Chien-Ning; Hou, Chih-Yao; Chang-Chien, Guo-Ping; Lin, Sufan; Tain, You-Lin",Maternal N-Acetylcysteine Therapy Prevents Hypertension in Spontaneously Hypertensive Rat Offspring: Implications of Hydrogen Sulfide-Generating Pathway and Gut Microbiota,Antioxidants,,856,9,9,Studies that did not meet inclusion criteria,,
4,2020,"Hsu, Chien-Ning; Hou, Chih-Yao; Chang-Chien, Guo-Ping; Lin, Sufan; Yang, Hung-Wei; Tain, You-Lin",Perinatal Resveratrol Therapy Prevents Hypertension Programmed by Maternal Chronic Kidney Disease in Adult Male Offspring: Implications of the Gut Microbiome and Their Metabolites,Biomedicines,2227-9059,E567,12,8,Studies that did not meet inclusion criteria,,
4,2020,"Jurga, E.; Graham, L.; Bishop, C. D.",Oophilais monophyletic within a three-taxon eukaryotic microbiome in egg masses of the salamanderAmbystoma maculatum,Symbiosis,0334-5114,187-199,2,81,Studies that did not meet inclusion criteria,,
4,2020,"Kaur, Sarabjit; Sarma, Saurav J.; Marshall, Brittney L.; Liu, Yang; Kinkade, Jessica A.; Bellamy, Madison M.; Mao, Jiude; Helferich, William G.; Schenk, A. Katrin; Bivens, Nathan J.; Lei, Zhentian; Sumner, Lloyd W.; Bowden, John A.; Koelmel, Jeremy P.; Joshi, Trupti; Rosenfeld, Cheryl S.",Developmental exposure of California mice to endocrine disrupting chemicals and potential effects on the microbiome-gut-brain axis at adulthood,Scientific Reports,2045-2322,10902,1,10,Studies that did not meet inclusion criteria,,
4,2020,"Antonson, Adrienne M.; Evans, Morgan; Galley, Jeffrey D.; Chen, Helen J.; Rajasekera, Therese A.; Lammers, Sydney M.; Hale, Vanessa L.; Bailey, Michael T.; Gur, Tamar L.",Unique maternal immune and functional microbial profiles during prenatal stress,Scientific Reports,2045-2322,20288,1,10,Studies that did not meet inclusion criteria,,
4,2020,"Liu, Wei; Zhou, Yalin; Qin, Yong; Li, Yong; Yu, Lanlan; Li, Ruijun; Chen, Yuhan; Xu, Yajun",Sex-specific effects of PM2.5 maternal exposure on offspring's serum lipoproteins and gut microbiota,Science of the Total Environment,0048-9697,139982,,739,Studies that did not meet inclusion criteria,,
4,2020,"Liu, Zhigang; Li, Ling; Ma, Shaobo; Ye, Jin; Zhang, Hongbo; Li, Yitong; Sair, Ali Tahir; Pan, Junru; Liu, Xiaoning; Li, Xiang; Yan, Shikai; Liu, Xuebo",High-Dietary Fiber Intake Alleviates Antenatal Obesity-Induced Postpartum Depression: Roles of Gut Microbiota and Microbial Metabolite Short-chain Fatty Acid Involved,Journal of Agricultural and Food Chemistry,0021-8561,13697-13710,47,68,Studies that did not meet inclusion criteria,,
4,2020,"Mahizir, Dayana; Briffa, Jessica F.; Wood, Jennifer L.; Anevska, Kristina; Hill-Yardin, Elisa L.; Jefferies, Andrew J.; Gravina, Sogand; Mazzarino, Gisella; Franks, Ashley E.; Moritz, Karen M.; Wadley, Glenn D.; Wlodek, Mary E.",Exercise improves metabolic function and alters the microbiome in rats with gestational diabetes,Faseb Journal,0892-6638,1728-1744,1,34,Studies that did not meet inclusion criteria,,
4,2020,"Champagne-Jorgensen, Kevin; Mian, M. Firoz; Kay, Sebastian; Hanani, Hila; Ziv, Oren; Neufeld, Karen-Anne McVey; Koren, Omry; Bienenstock, John","Prenatal low-dose penicillin results in long-term sex-specific changes to murine behaviour, immune regulation, and gut microbiota",Brain Behavior and Immunity,0889-1591,154-163,,84,Studies that did not meet inclusion criteria,,
4,2020,"Dai, Xin; Guo, Zixuan; Chen, Danfeng; Li, Lu; Liu, Tianyu; Jin, Ge; Li, Yun; Cao, Hailong; Wang, Bangmao",MATERNAL SUCRALOSE INTAKE ALTERS GUT MICROBIOTA OF OFFSPRING AND EXACERBATES HEPATIC STEATOSIS IN ADULTHOOD,Gastroenterology,0016-5085,S44,"6, Suppl. 1",158,Studies that did not meet inclusion criteria,,
4,2020,"Elokil, Abdelmotaleb A.; Abouelezz, Khaled; Adetula, Adeyinka A.; Ahmad, Hafiz; Mo, Changhuan; Sun, Chenghao; Li, Shijun",Investigation of the impact of gut microbiotas on fertility of stored sperm by types of hens,Poultry Science,,1174-1184,2,99,Studies that did not meet inclusion criteria,,
4,2020,"O'Mahony, Siobhain M.; McVey Neufeld, Karen-Anne; Waworuntu, Rosaline V.; Pusceddu, Matteo M.; Manurung, Sarmauli; Murphy, Kiera; Strain, Conall; Laguna, Mamen C.; Peterson, Veronica L.; Stanton, Catherine; Berg, Brian M.; Dinan, Timothy G.; Cryan, John F.",The enduring effects of early-life stress on the microbiota-gut-brain axis are buffered by dietary supplementation with milk fat globule membrane and a prebiotic blend,The European Journal of Neuroscience,1460-9568,1042-1058,4,51,Studies that did not meet inclusion criteria,,
4,2020,"Pu, Yaoyu; Yang, Jun; Chang, Lijia; Qu, Youge; Wang, Siming; Zhang, Kai; Xiong, Zhongwei; Zhang, Jiancheng; Tan, Yunfei; Wang, Xingming; Fujita, Yuko; Ishima, Tamaki; Wang, Debin; Hwang, Sung Hee; Hammock, Bruce D.; Hashimoto, Kenji",Maternal glyphosate exposure causes autism-like behaviors in offspring through increased expression of soluble epoxide hydrolase,Proceedings of the National Academy of Sciences of the United States of America,0027-8424,11753-11759,21,117,Studies that did not meet inclusion criteria,,
4,2020,"Zhu, Yu-Xi; Song, Zhang-Rong; Song, Yue-Ling; Zhao, Dian-Shu; Hong, Xiao-Yue",The microbiota in spider mite feces potentially reflects intestinal bacterial communities in the host,Insect Science,1672-9609,,5,27,Studies that did not meet inclusion criteria,,
1,2021,"Wang, Tingting; Chen, Lizhang; Huang, Peng; Yang, Tubao; Zhang, Senmao; Zhao, Lijuan; Chen, Letao; Ye, Ziwei; Luo, Liu; Qin, Jiabi",Association of maternal gut microbiota and plasma metabolism with congenital heart disease in offspring: a multi-omic analysis,Scientific Reports,2045-2322,5339,1,11,Studies that did not meet inclusion criteria,,
1,2021,"Gomez-Lopez, Nardhy; Romero, Roberto; Varrey, Aneesha; Leng, Yaozhu; Miller, Derek; Done, Bogdan; Xu, Yi; Bhatti, Gaurav; Motomura, Kenichiro; Gershater, Meyer; Pique-Regi, Roger; Tarca, Adi L.",RNA Sequencing Reveals Diverse Functions of Amniotic Fluid Neutrophils and Monocytes/Macrophages in Intra-Amniotic Infection,Journal of Innate Immunity,1662-811X,63-82,2,13,Studies that did not meet inclusion criteria,,
1,2021,"Hiltunen, Henni; Collado, Maria Carmen; Ollila, Helena; Kolari, Terhi; Tölkkö, Satu; Isolauri, Erika; Salminen, Seppo; Rautava, Samuli",Spontaneous preterm delivery is reflected in both early neonatal and maternal gut microbiota,Pediatric Research,1530-0447,,,,Studies that did not meet inclusion criteria,,
1,2021,"Selma-Royo, M.; Garcia-Mantrana, I.; Calatayud, M.; Parra-Llorca, A.; Martinez-Costa, C.; Collado, M. C.",Maternal diet during pregnancy and intestinal markers are associated with early gut microbiota,European Journal of Nutrition,1436-6207,1429-1442,3,60,Studies that did not meet inclusion criteria,,
1,2021,"Severgnini, Marco; Camboni, Tania; Ceccarani, Camilla; Morselli, Sara; Cantiani, Alessia; Zagonari, Sara; Patuelli, Giulia; Pedna, Maria Federica; Sambri, Vittorio; Foschi, Claudio; Consolandi, Clarissa; Marangoni, Antonella","Distribution of ermB, ermF, tet(W), and tet(M) Resistance Genes in the Vaginal Ecosystem of Women during Pregnancy and Puerperium",Pathogens,,1546,12,10,Studies that did not meet inclusion criteria,,
1,2021,"Jang, Hoonji; Al Jallad, Nisreen; Wu, Tong Tong; Zeng, Yan; Fadaak, Ahmed; Malmstrom, Hans; Fiscella, Kevin; Xiao, Jin","Changes in Candida albicans, Streptococcus mutans and oral health conditions following Prenatal Total Oral Rehabilitation among underserved pregnant women",Heliyon,,e07871,8,7,Studies that did not meet inclusion criteria,,
1,2021,"Motomura, Kenichiro; Romero, Roberto; Galaz, Jose; Tarca, Adi L.; Done, Bogdan; Xu, Yi; Leng, Yaozhu; Garcia-Flores, Valeria; Arenas-Hernandez, Marcia; Theis, Kevin R.; Gershater, Meyer; Jung, Eunjung; Hsu, Chaur-Dong; Gomez-Lopez, Nardhy",RNA Sequencing Reveals Distinct Immune Responses in the Chorioamniotic Membranes of Women with Preterm Labor and Microbial or Sterile Intra-amniotic Inflammation,Infection and Immunity,0019-9567,e00819-20,5,89,Studies that did not meet inclusion criteria,,
1,2021,"Movassagh, Mercedeh; Bebell, Lisa M.; Burgoine, Kathy; Hehnly, Christine; Zhang, Lijun; Moran, Kim; Sheldon, Kathryn; Sinnar, Shamim A.; Mbabazi-Kabachelor, Edith; Kumbakumba, Elias; Bazira, Joel; Ochora, Moses; Mulondo, Ronnie; Nsubuga, Brian Kaaya; Weeks, Andrew D.; Gladstone, Melissa; Olupot-Olupot, Peter; Ngonzi, Joseph; Roberts, Drucilla J.; Meier, Frederick A.; Irizarry, Rafael A.; Broach, James R.; Schiff, Steven J.; Paulson, Joseph N.",Vaginal microbiome topic modeling of laboring Ugandan women with and without fever,Npj Biofilms and Microbiomes,,75,1,7,Studies that did not meet inclusion criteria,,
1,2021,"Verma, Rita P.; Kota, Archana; Fogel, Joshua","Immediate Postnatal Microbial Colonization in Sick Term Neonates Admitted to NICU: Prevalence, Microbiota, and Associated Characteristics",American Journal of Perinatology,0735-1631,,,,Studies that did not meet inclusion criteria,,
1,2021,"Trombetta, Andrea; Comar, Manola; Tommasini, Alberto; Canton, Melania; Campisciano, Giuseppina; Zanotta, Nunzia; Cason, Carolina; Maso, Gianpaolo; Risso, Francesco Maria",SARS-CoV-2 Infection and Inflammatory Response in a Twin Pregnancy,International Journal of Environmental Research and Public Health,,3075,6,18,Studies that did not meet inclusion criteria,,
1,2021,"Seliger, Gregor; Bergner, Michael; Haase, Roland; Stepan, Holger; Schleussner, Ekkehard; Zollkau, Janine; Seeger, Sven; Kraus, Frank Bernhard; Hiller, Grit Gesine Ruth; Wienke, Andreas; Tchirikov, Michael",Daily monitoring of vaginal interleukin 6 as a predictor of intraamniotic inflammation after preterm premature rupture of membranes - a new method of sampling studied in a prospective multicenter trial,Journal of Perinatal Medicine,0300-5577,572-582,5,49,Studies that did not meet inclusion criteria,,
1,2021,"Ambalavanan, Namasivayam; Jauk, Victoria; Szychowski, Jeff M.; Boggess, Kim A.; Saade, George; Longo, Sherri; Esplin, Sean; Cleary, Kirsten; Wapner, Ronald; Letson, Kellett; Owens, Michelle; Blackwell, Sean; Andrews, William; Tita, Alan T.",Epidemiology of readmissions in early infancy following nonelective cesarean delivery,Journal of Perinatology,0743-8346,24-31,1,41,Studies that did not meet inclusion criteria,,
1,2021,"Moreira, Zayda P. Morales; Helgason, Bobbi L.; Germida, James J.","Crop, genotype, and field environmental conditions shape bacterial and fungal seed epiphytic microbiomes",Canadian Journal of Microbiology,0008-4166,161-173,2,67,Studies that did not meet inclusion criteria,,
1,2021,"Van Mechelen, Karen; Meeus, Marisse; Matheeussen, Veerle; Donders, Gilbert; Jacquemyn, Yves; Mahieu, Ludo",Association between maternal cervicovaginal swab positivity for Ureaplasma spp. or other microorganisms and neonatal respiratory outcome and mortality,Journal of Perinatology,0743-8346,1258-1268,6,41,Studies that did not meet inclusion criteria,,
1,2021,"de Menezes Torres, Katia Andrea; Rolim Rosa Lima, Sonia Maria; Brandao Torres, Luce Maria; Gamberini, Maria Thereza; da Silva Junior, Pedro Ismael",Garlic: An Alternative Treatment for Group B Streptococcus,Microbiology Spectrum,2165-0497,e00170-21,3,9,Studies that did not meet inclusion criteria,,
1,2021,"Laghi, Luca; Zagonari, Sara; Patuelli, Giulia; Zhu, Chenglin; Foschi, Claudio; Morselli, Sara; Pedna, Maria Federica; Sambri, Vittorio; Marangoni, Antonella",Vaginal metabolic profiles during pregnancy: Changes between first and second trimester,Plos One,1932-6203,e0249925,4,16,Studies that did not meet inclusion criteria,,
1,2021,"Moon, Cheong-Jun; Kwon, Tae Hee; Lee, Kyung Sang; Lee, Hyun-Seung",Recurrent neonatal sepsis and progressive white matter injury in a premature newborn culture-positive for group B Streptococcus A case report,Medicine,0025-7974,,25,100,Studies that did not meet inclusion criteria,,
1,2021,"Oshima, Yuko; Tanaka, Satoko; Tsumura, Keisuke; Tsuda, Satoko; So, Kunio; Shinagawa, Takaaki; Yamasaki, Fumio; Kawaguchi, Atsushi; Nomiyama, Makoto; Yokoyama, Masatoshi",Amniotic fluid Gram stain and interleukin-6 can predict early-onset neonatal sepsis,Journal of Obstetrics and Gynaecology Research,1341-8076,726-733,2,47,Studies that did not meet inclusion criteria,,
1,2021,"Romero, Roberto; Pacora, Percy; Kusanovic, Juan Pedro; Jung, Eunjung; Panaitescu, Bogdan; Maymon, Eli; Erez, Offer; Berman, Susan; Bryant, David R.; Gomez-Lopez, Nardhy; Theis, Kevin R.; Bhatti, Gaurav; Kim, Chong Jai; Yoon, Bo Hyun; Hassan, Sonia S.; Hsu, Chaur-Dong; Yeo, Lami; Diaz-Primera, Ramiro; Marin-Concha, Julio; Lannaman, Kia; Alhousseini, Ali; Gomez-Roberts, Hunter; Varrey, Aneesha; Garcia-Sanchez, Angel; Gervasi, Maria Teresa","Clinical chorioamnionitis at term X: microbiology, clinical signs, placental pathology, and neonatal bacteremia implications for clinical care",Journal of Perinatal Medicine,0300-5577,275-298,3,49,Studies that did not meet inclusion criteria,,
1,2021,"Ruebel, Meghan L.; Gilley, Stephanie P.; Sims, Clark R.; Zhong, Ying; Turner, Donald; Chintapalli, Sree V.; Piccolo, Brian D.; Andres, Aline; Shankar, Kartik","Associations between Maternal Diet, Body Composition and Gut Microbial Ecology in Pregnancy",Nutrients,,3295,9,13,Studies that did not meet inclusion criteria,,
1,2021,"Snoek, Katinka M.; Steegers-Theunissen, Regine P. M.; Klaassen, Rene A.; Laven, Joop S. E.; Schoenmakers, Sam","Impact of Bariatric surgery on EmbrYONic, fetal and placental Development (BEYOND): protocol for a prospective cohort study embedded in the Rotterdam periconceptional cohort",Bmj Open,2044-6055,e051110,9,11,Studies that did not meet inclusion criteria,,
1,2021,"Sureshchandra, Suhas; Mendoza, Norma; Jankeel, Allen; Wilson, Randall M.; Marshall, Nicole E.; Messaoudi, Ilhem",Phenotypic and Epigenetic Adaptations of Cord Blood CD4+T Cells to Maternal Obesity,Frontiers in Immunology,1664-3224,617592,,12,Studies that did not meet inclusion criteria,,
2,2021,"Wang, Xia; Ren, Yiqing; Gong, Chengming; Chen, Yufei; Ge, Xiaoping; Kong, Jun; Sun, Wenjing; Du, Xiaoyuan",40S ribosomal protein S18 is a novel maternal peptidoglycan-binding protein that protects embryos of zebrafish from bacterial infections.,Developmental & Comparative Immunology,0145-305X,104212,,125,Studies that did not meet inclusion criteria,,
2,2021,"Wolf, Tiffany M.; Chenaux-Ibrahim, Yvette M.; Isaac, Edmund J.; Wunschmann, Arno; Moore, Seth A.",NEONATE HEALTH AND CALF MORTALITY IN A DECLINING POPULATION OF NORTH AMERICAN MOOSE (ALCES ALCES AMERICANUS).,Journal of Wildlife Diseases,0090-3558,40-50,1,57,Studies that did not meet inclusion criteria,,
2,2021,"de Brito, Tarcisio Fontenele; Coelho, Vitor Lima; Cardoso, Maira Arruda; Brito, Ingrid Alexandre de Abreu; Berni, Mateus Antonio; Zenk, Fides Lea; Iovino, Nicola; Pane, Attilio",Transovarial transmission of a core virome in the Chagas disease vector Rhodnius prolixus,Plos Pathogens,1553-7366,e1009780,8,17,Studies that did not meet inclusion criteria,,
2,2021,"Deoli, Naresh T.; Mikolajczyk, Ashley; Fusilier, Zachary; Zappi, Mark; Whitlow, Harry J.",Elemental composition of alligator eggshell and eggshell membrane using micro-PIXE,Nuclear Instruments & Methods in Physics Research Section B-Beam Interactions with Materials and Atoms,0168-583X,80-84,,502,Studies that did not meet inclusion criteria,,
2,2021,"Benner, Marilen; Lopez-Rincon, Alejandro; Thijssen, Suzan; Garssen, Johan; Ferwerda, Gerben; Joosten, Irma; van der Molen, Renate G.; Hogenkamp, Astrid",Antibiotic Intervention Affects Maternal Immunity During Gestation in Mice,Frontiers in Immunology,1664-3224,,,12,Studies that did not meet inclusion criteria,,
2,2021,"Fedorka, Carleigh E.; Scoggin, Kirsten E.; El-Sheikh Ali, Hossam; Loux, Shavahn C.; Dini, Pouya; Troedsson, Mats H. T.; Ball, Barry A.",Interleukin-6 pathobiology in equine placental infection,American Journal of Reproductive Immunology,1046-7408,e13363,5,85,Studies that did not meet inclusion criteria,,
2,2021,"Gilbert, Nicole M.; Foster, Lynne R.; Cao, Bin; Yin, Yin; Mysorekar, Indira U.; Lewis, Amanda L.","Gardnerella vaginalis promotes group B Streptococcus vaginal colonization, enabling ascending uteroplacental infection in pregnant mice",American Journal of Obstetrics and Gynecology,1097-6868,530.e1-530.e17,5,224,Studies that did not meet inclusion criteria,,
2,2021,"Hemida, Manal; Vuori, Kristiina A.; Moore, Robin; Anturaniemi, Johanna; Hielm-Bjorkman, Anna",Early Life Modifiable Exposures and Their Association With Owner Reported Inflammatory Bowel Disease Symptoms in Adult Dogs,Frontiers in Veterinary Science,,552350,,8,Studies that did not meet inclusion criteria,,
2,2021,"McCartney, Stephen A.; Kapur, Raj; Liggitt, H. Denny; Baldessari, Audrey; Coleman, Michelle; Orvis, Austyn; Ogle, Jason; Katz, Ronit; Rajagopal, Lakshmi; Waldorf, Kristina M. Adams",Amniotic fluid interleukin 6 and interleukin 8 are superior predictors of fetal lung injury compared with maternal or fetal plasma cytokines or placental histopathology in a nonhuman primate model,American Journal of Obstetrics and Gynecology,0002-9378,Article No.: 89.e1-e16-e16,1,225,Studies that did not meet inclusion criteria,,
2,2021,"Nguyen, Tan-Duc; Itayama, Tomoaki; Ramaraj, Rameshprabu; Iwami, Norio; Shimizu, Kazuya; Dao, Thanh-Son; Pham, Thanh-Luu; Maseda, Hideaki",Chronic ecotoxicology and statistical investigation of ciprofloxacin and ofloxacin to Daphnia magna under extendedly long-term exposure,Environmental Pollution,0269-7491,118095,,291,Studies that did not meet inclusion criteria,,
2,2021,"Trevisi, P.; Luise, D.; Correa, F.; Messori, S.; Mazzoni, M.; Lalles, J. P.; Bosi, P.",Maternal antibiotic treatment affects offspring gastric sensing for umami taste and ghrelin regulation in the pig,Journal of Animal Science and Biotechnology,1674-9782,31,1,12,Studies that did not meet inclusion criteria,,
2,2021,"Walsh, Matthew R.; Gillis, Michael K.",Transgenerational plasticity in the eye size of Daphnia.,Biology Letters,1744-9561,20210143,6,17,Studies that did not meet inclusion criteria,,
2,2021,"Shan, Hong-Wei; Liu, Shu-Sheng",The Costs and Benefits of Two Secondary Symbionts in a Whitefly Host Shape Their Differential Prevalence in the Field,Frontiers in Microbiology,,739521,,12,Studies that did not meet inclusion criteria,,
2,2021,"Dinh, Hue; Nguyen, Binh; Morimoto, Juliano; Lundback, Ida; Kumar, Sheemal S.; Ponton, Fleur",Transgenerational Effects of Parental Diet on Offspring Development and Disease Resistance in Flies.,Frontiers in Ecology and Evolution,2296-701X; 2296-701X,606993,,9,Studies that did not meet inclusion criteria,,
2,2021,"Ji, Jian-Fei; Hu, Chong-Bin; Zhang, Nan; Huang, Xiao; Shao, Tong; Fan, Dong-Dong; Lin, Ai-Fu; Xiang, Li-Xin; Shao, Jian-Zhong",New Insights into IgZ as a Maternal Transfer Ig Contributing to the Early Defense of Fish against Pathogen Infection,Journal of Immunology,0022-1767,2001-2014,9,206,Studies that did not meet inclusion criteria,,
2,2021,"Kim, Hee-Yun; Nam, Sun-Young; Kim, Hyung-Min; Jeong, Hyun-Ja",Exposure of ovalbumin during pregnancy prevents the development of allergic rhinitis in offspring through the induction of mast cell autophagy,Cellular Immunology,0008-8749,104362,,365,Studies that did not meet inclusion criteria,,
2,2021,"Koga, Ryuichi; Tanahashi, Masahiko; Nikoh, Naruo; Hosokawa, Takahiro; Meng, Xian-Ying; Moriyama, Minoru; Fukatsu, Takema",Host's guardian protein counters degenerative symbiont evolution,Proceedings of the National Academy of Sciences of the United States of America,0027-8424,e2103957118,25,118,Studies that did not meet inclusion criteria,,
2,2021,"Leivesley, Jessica Alice; Rollinson, Njal",Maternal provisioning and fluctuating thermal regimes enhance immune response in a reptile with temperature-dependent sex determination.,Journal of Experimental Biology,0022-0949,jeb237016,5,224,Studies that did not meet inclusion criteria,,
2,2021,"Macagno, Anna L. M.; Edgerton, Trevor J.; Moczek, Armin P.","Incipient hybrid inferiority between recently introduced, diverging dung beetle populations",Biological Journal of the Linnean Society,0024-4066,931-944,4,132,Studies that did not meet inclusion criteria,,
2,2021,"Malysh, Julia M.; Chertkova, Ekaterina A.; Tokarev, Yuri S.",The microsporidium Nosema pyrausta as a potent microbial control agent of the beet webworm Loxostege sticticalis.,Journal of Invertebrate Pathology,0022-2011,107675,,186,Studies that did not meet inclusion criteria,,
2,2021,"Wierz, Juergen C.; Gaube, Paul; Klebsch, Dagmar; Kaltenpoth, Martin; Florez, Laura V.",Transmission of Bacterial Symbionts With and Without Genome Erosion Between a Beetle Host and the Plant Environment,Frontiers in Microbiology,,715601,,12,Studies that did not meet inclusion criteria,,
2,2021,"Takamatsu, Takumi; Arai, Hiroshi; Abe, Nobuhiko; Nakai, Madoka; Kunimi, Yasuhisa; Inoue, Maki N.",Coexistence of Two Male-Killers and Their Impact on the Development of Oriental Tea TortrixHomona magnanima,Microbial Ecology,0095-3628,193-202,1,81,Studies that did not meet inclusion criteria,,
3,2021,"Cholewinska, Paulina; Woloszynska, Magdalena; Michalak, Marta; Czyz, Katarzyna; Rant, Witold; Smolinski, Jakub; Wyrostek, Anna; Wojnarowski, Konrad","Influence of selected factors on the Firmicutes, Bacteroidetes phyla and the Lactobacillaceae family in the digestive tract of sheep",Scientific Reports,2045-2322,23801,1,11,Studies that did not meet inclusion criteria,Utilized RT PCR,
3,2021,"Galley, Jeffrey D.; Chen, Helen J.; Antonson, Adrienne M.; Gur, Tamar L.",Prenatal stress-induced disruptions in microbial and host tryptophan metabolism and transport,Behavioural Brain Research,0166-4328,113471,,414,Studies that did not meet inclusion criteria,Utilized qPCR,
3,2021,"Zenner, Christian; Hitch, Thomas C. A.; Riedel, Thomas; Wortmann, Esther; Tiede, Stefan; Buhl, Eva M.; Abt, Birte; Neuhaus, Klaus; Velge, Philippe; Overmann, Joerg; Kaspers, Bernd; Clavel, Thomas",Early-Life Immune System Maturation in Chickens Using a Synthetic Community of Cultured Gut Bacteria,mSystems,2379-5077,e01300-20,3,6,Studies that did not meet inclusion criteria,"Sampled from both maternal and offspring sources, but did not sequence maternal sources",
3,2021,"Darolova, Alzbeta; Polacek, Miroslav; Kristofik, Jan; Lukasch, Barbara; Hoi, Herbert",First Evidence of a Relationship Between Female Major Histocompatibility Complex Diversity and Eggshell Bacteria in House Sparrows (Passer domesticus),Frontiers in Ecology and Evolution,2296-701X,615667,,9,Studies that did not meet inclusion criteria,,
3,2021,"Hunting, Ellard R.; Schrama, Maarten; Rozen, Daniel E.; Joenssen, Christina; Brun, Nadja R.",Effect of carcass contamination on necrophagous invertebrate performance,Ecological Processes,,57,1,10,Studies that did not meet inclusion criteria,Used CHROMagar Orientation (culture-dependent) for bacterial identification and also predicted metabolite production,
3,2021,"Li, Wenqiang; Chen, Mengxue; Feng, Xia; Song, Meng; Shao, Minglong; Yang, Yongfeng; Zhang, Luwen; Liu, Qing; Lv, Luxian; Su, Xi","Maternal immune activation alters adult behavior, intestinal integrity, gut microbiota and the gut inflammation",Brain and Behavior,2162-3279,e02133,5,11,Studies that did not meet inclusion criteria,Did not sequence whole microbiome,
4,2021,"Amat, Samat; Holman, Devin B.; Schmidt, Kaycie; Menezes, Ana Clara B.; Baumgaertner, Friederike; Winders, Thomas; Kirsch, James D.; Liu, Tingting; Schwinghamer, Timothy D.; Sedivec, Kevin K.; Dahlen, Carl R.","The Nasopharyngeal, Ruminal, and Vaginal Microbiota and the Core Taxa Shared across These Microbiomes in Virgin Yearling Heifers Exposed to Divergent In Utero Nutrition during Their First Trimester of Gestation and in Pregnant Beef Heifers in Response to Mineral Supplementation",Microorganisms,2076-2607,2011,10,9,Studies that did not meet inclusion criteria,,
4,2021,"Daoust, Laurence; Choi, Béatrice S.-Y.; Lacroix, Sébastien; Rodrigues Vilela, Vanessa; Varin, Thibault Vincent; Dudonné, Stéphanie; Pilon, Geneviève; Roy, Denis; Levy, Emile; Desjardins, Yves; Chassaing, Benoit; Marette, André","Impacts of PBDE-47 exposure before, during and after pregnancy on the maternal gut microbiome and its association with host metabolism+D94",Gut Microbes,1949-0984,2004070,1,13,Studies that did not meet inclusion criteria,,
4,2021,"Giraud, Carolane; Callac, Nolwenn; Beauvais, Maxime; Mailliez, Jean-Rene; Ansquer, Dominique; Selmaoui-Folcher, Nazha; Pham, Dominique; Wabete, Nelly; Boulo, Viviane",Potential lineage transmission within the active microbiota of the eggs and the nauplii of the shrimp Litopenaeus stylirostris: possible influence of the rearing water and more,Peerj,2167-8359,e12241,,9,Studies that did not meet inclusion criteria,,
4,2021,"Husso, Aleksi; Lietaer, Leen; Pessa-Morikawa, Tiina; Gronthal, Thomas; Govaere, Jan; Van Soom, Ann; Iivanainen, Antti; Opsomer, Geert; Niku, Mikael",The Composition of the Microbiota in the Full-Term Fetal Gut and Amniotic Fluid: A Bovine Cesarean Section Study,Frontiers in Microbiology,,626421,,12,Studies that did not meet inclusion criteria,Sampled amniotic fluid,
